date,equity_gbp,cash_gbp,n_positions,benchmark_close
2026-07-13,4944.08,147.88,5,10498.29
2026-07-14,4929.41,147.88,5,10529.39
2026-07-15,4900.65,147.88,5,10515.92
2026-07-16,4764.95,956.34,4,10572.24
2026-07-17,4697.63,956.34,4,10600.37
2026-07-20,4692.97,121.85,5,10524.76
2026-07-21,4771.26,121.85,5,10585.91
2026-07-22,4788.59,121.85,5,10716.97
2026-07-23,4757.01,121.85,5,10639.17
2026-07-24,4749.88,121.85,5,10736.23
2026-07-27,4689.87,121.85,5,10781.75
2026-07-28,4604.13,121.85,5,10871.02
2026-07-29,4587.46,121.85,5,10908.41
2026-07-30,4667.85,121.85,5,10897.27
2026-07-31,4587.04,121.85,5,10868.05
2026-08-03,4535.42,114.87,5,10857.7
2026-08-04,4629.99,114.87,5,10879.38
2026-08-05,4699.43,114.87,5,10888.3
2026-08-07,4631.5,114.87,5,10901.09
2026-08-10,4624.66,267.2,5,10862.5
2026-08-11,4662.6,267.2,5,10844.19
2026-08-12,4821.37,267.2,5,10833.15
2026-08-13,4811.6,267.2,5,10772.67
